Question,Answers,Comment,Instructions,Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2SO4+C+▲->,Na2S+CO,"When SO4 is the oxidizer it goes to SO2, When SO4 is being *reduced* it goes to S--. Here CO and not CO2 because of higher T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2S+Air->,Na2S2O3+NaOH,There is neither a mild oxidizer or a strong oxidizer. When S-- is the reducer it goes to S2O3--,Assume Air is moist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KF+BrF3->,K[BrF4],Similar to I3-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg[BH4]2+H2O->,Mg[B(OH)4]2+4H2,"H3BO3 is a lewis acid, this is often abbrievated as Mg(BO2)2 since metaborate is a gross term, not referring to only true meta acids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na[BH4]+H2O->,no rxn,NaBH4 is stable in water (BH4 is highly covalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na+C->,no rxn,Group I doesnt react directly with C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li+C->,Li2C2,This is used in synthesis of acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solvay Process - Production Steps,NH3+H2O+CO2->NH4HCO3+NaCl->NH4Cl+NaHCO3->Na2CO3+NH4Cl,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts for this reaction except the significant ones (retain significant ones till the end). Don't notate heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solvay Process - Regenaration Steps,CaCO3->CaO+H2O->Ca(OH)2+NH4Cl->NH3,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts. Don't notate heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg/NH3+▲(mild)->,[Mg(NH3)6],"Unlike group I, Group II will not lose the NH3 within primary solvation sphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cations that cause Scum,Mg Ca,,Yeet Charge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anions for Temporary Hardness,HCO3,,Yeet Charge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anions for Permanent Hardness,SO4 Cl,,Yeet Charge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark's Process for Mg,"Mg(HCO3)2+Ca(OH)2->Mg(OH)2(ppt, sparingly soluble)+CaCO3(ppt)+H2O","Mg(OH)2 is sparingly soluble, but ppt here because of common ion with Ca(OH)2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark's Process for Ca,Ca(HCO3)2+Ca(OH)2->CaCO3(ppt)+H2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion Exchangers for Permanent Hardness,Na6P6O18(Calgon) NaAlSiO4(zeolite/permutit) RSO3Na(Resin),Calgon is a Hexametaphosphate; A Zeolite is when Silica is doped with A G13 element and a counter metal such as Na,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime-soda process,CaSO4+Na2CO3->CaCO3(ppt)+Na2SO4,Used to remove permanent hardness. This also works for Mg but the name Lime-Soda is for Ca-Na,No not fresh lime soda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washing Soda,Na2CO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baking Soda,NaHCO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleaching Powder,Ca(OCl)2 CaCl2,Often abrievated as CaOCl2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be+C->,Be2C,"Like Al4C3, Gives methane not ethyne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeX2 salts are extremely soluble even though being largely covalent due to the formation of:,[Be(H2O)4]X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaC2+N2->,CaNCN+C,-N=C=N-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+NaOH->,Na3BO3+H2,"H3BO3 seems to act arhenius. But this is 2Na2O.B2O3, not H3BO3+NaOH",Use oxide form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermite Reaction,Al+O2->Al2O3,HUGE Amount of heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potash Alum - True Form,[K(H2O)6][Al(H2O)6](SO4)2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B2O3+P4O10,BPO4,B2O3 being weakly acidic can be forced to react by a strongly acidic oxide. B3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borax - True Form,Na2[H2B4O7(OH)2].8H2O,It is a lewis A-B derivative of H2B4O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthoboric Acid,H3BO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaboric Acid,(HBO2)n,Metaacid is when 2 anhydride links are formed. Ortho and Metaacids are Gross words. They are referring to emperical formula and not true structure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroboric Acid,H2B4O7,Pyroacid is when 1 H2O left. It is not a gross word and denotes a specific acid. But the guy who named Boron :clap: acids was a Moron :clap: and named H2B4O7 as pyroboric acid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2O3+NH4BF4,NH3+BF3+H2O,Effectively same as HF+B2O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-Compounds that give characteristic flame colour,BF3(green) B(OCH3)3(green),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaAlO2.2H2O+CO2->,"NaHCO3+Al(OH)3(ppt,gelatinous)",CO2 is more acidic than amphoteric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiH+AlCl3,(AlH3)n+LiCl,Tau Bonds; LiAlH4 is formed only with excess LiH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Preparation of Diborane,NaBH4+I2->B2H6+NaI,,(Not from BF3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Preparation of Diborane,NaBH4+BF3->B2H6+NaF,,(Not from BF3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production of Diborane from B2O3,B2O3+Al+H2->Al2O3+B2H6,"The huge heat from Al causes H2 to flame and instead of H2O, B2O3 forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlCl3+CH3MgCl->,MgCl2+Al2(CH3)6,Me shows Tau bonds too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H6+NH3(excess) (Extreme T)->,(BN)n+H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H6+NH3,[BH2(NH3)2][BH4],"Ammonia although being largely coordinate is considered an ionic/hard base, Hard base splits B2H6 assymetrically",Use complex form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H6+NH3 (Extreme T)->,B3N3H6+H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Stable Oxidation state of 3d series,"3, 4, 5, 3, 2, 3, 2, 2, 2, 2","First three simply act like s block. All other metals follow t2g,eg trends except Mn and Fe prefer half filled d, Cu prefers +2 due to better hydration",Sc Ti V Cr Mn Fe Co Ni Cu Zn. Comma Seperated. (Assume in Air for iron),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMnO4+▲->,K2MnO4(green)+MnO2(black)+O2,"KMnO4 to K2MnO4 is not that favourable a reaction, and moving to MnO2 has enough energy to initiate reverse of it. This can also be explained by showing how medium is not basic anymore and it will move to MnO2, but then the superoxide KO2 will further react with K2MnO4 to give KMnO4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2CO3+▲(Mild)->,Ag2O(black)+CO2,,Drop (ppt) since all Ag salts are precipitates other than AgNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+HCl(conc)->,no rxn,"Unlike Group I test conditions, conc HCl doesnt let O2 interact with Ag and Ag cant displace H in Cl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+Aqua Regia->,no rxn,"Although HNO3 is present, Protective layer of AgCl/AgNO3 is formed which will prevent reaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colours of the following compounds:,"Yellow, White, White, White, White, Pale Yellow, Yellow, Yellow, Brick Red",CO3 PO4 CrO4 Cr2O7 Br I show exceptional colours.,"Ag2CO3, Ag2SO4, Ag2S2O3, AgOAc, AgCl, AgBr, AgI, Ag3PO4, Ag2CrO4",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2CO3+▲(Strong)->,Ag+CO2+O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNO3+NaOH->,"Ag2O(ppt,black)+NaNO3+H2O",Ag(OH) doesnt exist. Ag will not readily oxidize OH to H2O+O2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgO - True Form,Ag[AgO2],"Its diamagnetic, not d9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2O+Glucose->,Ag+Gluconic Acid,It can do all oxidations Tollen's reagant can do. But not all oxidations that Br2/H2O can do,Use common name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgBr+💡->,Ag+Br2,Br radical generated using how AgBr is largely covalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNO3(excess)+I2+H2O->,"AgI(ppt,yellow)+AgIO3(ppt)+HNO3","Oxidation of one of the I2 is initiated by highly oxidizing medium of Ag and NO3. I2 being a weak oxidizer too, it will oxidize back the byproduct. Effectively I2 disproportionates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2SO4+HgCl2+H2O->,"HgSO4.HgO(ppt,yellow)+HCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2CrO4+H2O2+HCl,CrO5(blue)+H2O+NaCl,CrO5 is stabilized in presence of an organic ligand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(NO3)2+▲->,ZnO+NO2+O2,Can be seen like H2O+NO2+O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiCl.2H2O+▲->,LiCl+H2O,Not all hydrated chlorides become oxides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeCl2.4H2O+▲->,Be(OH)2+HCl,Exceptional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cations whose hydrated Chlorides on pyrolysis give oxides,Sn(II) Mg Fe(III) Al Zn Cu,Fe(II) will give Fe3O4 like a chad gamer,Include ox state in roman numerals if ambiguous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+Na2S2O3(excess)->,Na3[Ag(S2O3)2]+Na2S,"Like SO3 and CO3, it dissolves on excess. But with S2O3 its because of complexation not bianion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO+H2 (high T)->,H2O+Zn,"At high T, H reaches C in reactivity series/ellingham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Test for Zinc,Co(NO3)2+ZnO->CoZnO2(Green)+NO2+O2,,Use Oxide form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuO+▲(<1800K)->,Cu2O(red) + O2,Rusty red is the characteristic colour of Cu+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl2(aq) on Crystallization,CuCl2.2H2O(Green),"Cu+2 is generally Blue in solution, Green in crystal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl2+HCl(excess)->,H2[CuCl4](yellow),Yellow and Blue mix to give Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water of Crystallization in the Sulphates:,"7,7,5,0",,"Zn, Fe(II), Cu(II), Ag",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ln+C (High T)->,Ln2C6,Ethynoids,Where Ln is a lanthanoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamagnetic Lanthanoids,Ce(IV) Yb(II) Lu(III),The actually lie after one d element (La) and not immediately after sblock. So that make Lu(III) and Yb(II) full-f configurations. Ce(IV) is noble configuration.,Include roman numerals. Space seperate.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe+H2SO4->,FeSO4+H2,Fe(II) gains stability when full t2g prefered (Mostly in solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeSO4+Air+▲->,Fe2O3+SO2+SO3,Fe(III) is more stable in air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe(COO)2 on Calcination->,FeO+CO+CO2,FeO is stable at high temperature given no O2 around. It will move to Fe2O3 and Fe on cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl2+O2->,Fe2O3+FeCl3,Fe(III) is more stable in air. The Cl released oxidizes more FeCl2 even thought Fe(II) is more stable in solution. Cl2 is formed only on excess of FeCl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl2+H2O->,Fe3O4+HCl+H2,"Readily hydrolysed, in absense of O2 Magnetite is formed exceptionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of Na2O,Na+NaNO3->Na2O+N2,"Na is so reducing that it reduces NO3 to N2, not just take an O to make it NaNO2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg+C->,Mg2C3,Propanide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb+H2SO4->,no rxn,Protective coating often renders Pb less reaction than expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carborundum Preparation,(SiO2)n+C->(SiC)n+CO,CO at high T,Dont notate heating. Use true forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K4[Fe(CN)6]+H2SO4(conc)+H2O->,K2SO4+FeSO4+(NH4)2SO4+CO,"H2SO4 is capable of breaking the complex. HCN is then hydrolysed -> HCOOH+NH3 which then undergoes alpha dehydration due to H2SO4 and NH3 is captured. Conc H2SO4 is just to break complex, once added its not concentrated in the test tube anymore and wont oxidize Fe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of Phosgene,CO+Cl2->COCl2,CO is passed through Chlorine Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose+Yeast->,C2H5OH+CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2+NH3+▲->,NH2CONH2+H2O,Acid-Base NH3CO2; H exchange NH2COOH; Ammonia Salt NH2COONH4; COONH4->CONH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of CS2,CH4+S8+SiO2/Al2O3->H2S+CS2,Behaves analogous combustion. Include catalyst as if it was a reactant. Split alternative catalysts by /.,Include catalyst as if it was a reactant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2+NaOH->,Na2CO3+Na2CS3+H2O,Behaves analogous to CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiO2+Cl2->,no rxn,Only F2 can displace O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnO+NaOH+▲->,Na2[Sn(OH)6]+Sn,Heat will cause Sn(II)->Sn(IV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HgCl2+FeCl2(excess)->,Hg2Cl2(ppt)+FeCl3,"Stops at Hg2Cl2 as FeCl2 isnt really a reducer in fact, reaction is more driven by Hg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HgCl2+SnCl2(excess)->,Hg+SnCl4,Doesn't stop at Hg2Cl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbO2+HCl (cold)->,H2[PbCl6]+H2O,"PbCl4 is not formed that easily, even worse, if not cold PbCl4 will disproportionate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaO+SiO2->,CaSiO3(ppt),Flux is added to make it slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silica,(SiO2)n,Often written as SiO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scandium Pyrosilicate,Sc2Si2O7,Ortho Pyro Meta naming applies to Silicates too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of Silicones,Si+RCl+Cu->SiR2Cl2+H2O->(SiR2O)n,Cu dehydrogenates. It is better written as SiR2 to signify how Si is less EN than C. Si doesn't gem diol eliminate but make ether links. Si is easier to obtain in elemental form than SiH4 to start with. Cant start with SiO2 or SiCl4 for reaction control.,"Add reagant right away on subsequent steps, Include catalyst as if it was a reagant. Ignore byproducts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silane+H2O->,no rxn,Silane is much more covalent and will not give H2 so fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silane+H2O [OH]->,H2+SiO2,Hydrolysis of SiH4 needs attack by OH unlike comparatively more ionic% hydrides,Use emperical-form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N(SiH3)3 Hybridization,sp2,"SiH4 behaves very much like BH3, It is slightly lewis acidic and also shows backbonding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiCl4+H2O->,Si(OH)4+HCl,H2[SiCl6] is not formed. Cl doesn't drag electron to itself enough to shrink higher d-orbitals and bring them to bonding energy. only F does it for Si.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H6+N(CH3)3->,N(CH3)3BH3,Assymetric splitting by Ionic Base doesnt happen here as it is a Bulky Base. So It is forced to act as a covalent base and symetrically split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producer Gas,CO+N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnCl2+NaCl->,Na2[SnCl4]+Na[SnCl3],Sn shows complex anions of both monovalent and divalent with halogens,Include all products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnCl4+NaCl->,Na[SnCl5]+Na2[SnCl6],Sn shows complex anions of both monovalent and divalent with halogens,Include all products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbCl2+LiEt->,PbEt4+Pb+LiCl,Pb(II) is comparatively more ionic (its the only clear cation in group 14). But Et wants covalence. (HSAB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2+Cl2+FeCl3 (Cold)->,CCl4+S2Cl2,Reaction is initiated by Cl+. SCl2 is not formed. S2Cl2 at higher temperature will break into S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnO2+HNO3(conc)->,no rxn,SnO2 reacts only with H2SO4 for some reason.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnCl2+H2O->,Sn(OH)Cl(ppt)+HCl,It precipitates before complete hydrolysis can happen (like SbOCl and BiOCl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnCl2+Na2S->,"SnS(ppt,brown)+NaCl","There's no redox possibility here, Sn wont really reduce anything",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnCl4+H2S->,"SnS2(ppt,yellow)+HCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4(white)+▲(300K)->,(P4)n(red),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4(white)+▲ (High P)->,(P)n(black),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4(white)+▲(extreme)->,P2,"Analogous to N2, releases P2 similar to S2 in heating of S8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O2 as a reducing agent,2[H]+O2,,Only products of the Half reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O2 as an oxidizing agent,H2O+[O],,Only products of the Half reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphorus Pentoxide,P4O10,Common name is derived from emperical form P2O5 for some reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCl5+HCl,H[PCl6],Cl is good enough to shrink 2 d orbitals of P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4(red)+Air->,no rxn,"P4O10 is not formed unlike white P, red P is relatively less reactive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combustion of PH3,H3PO4+H2O,"Like CO2 and H2O, P's combusted form is usually P4O10, but since H2O is generated too, H3PO4 is formed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH3+Ca(OCl)Cl+H2O->,PCl3+Ca(OH)2+HCl,PH3 has a surprising tendency to act like P-3 and H+ (and taking Cl+ from OCl) eventhough H is more electronegative here. This reaction is unlike NH3 where OCl will oxidize NH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuSO4+PH3->,Cu3P2+H2SO4,HSAB. PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH3+Cl2->,PCl3+HCl,"PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here. (This is only for PH3, once PCl3 is formed its just Pd+ - Cld-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3+Ca(OCl)Cl->,CaCl2+N2+H2O,Bleaching action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assymetric Nitrogen Oxides,N2O3(blue) N2O,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2H4+2CuSO4->,Cu+N2+H2SO4,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4->N2+[H]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2H4+Zn+HCl->,ZnCl2+NH3,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4+[H]->NH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PtF6+O2->,O2[PtF6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe+F2 ratios,"2:1, 1:5, 1:20",,Comma Seperate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+H2O(limited)->,XeOF4+XeO2F2+HF,It cant be controlled if XeOF4 is formed or XeO2F2,Include all products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+SiO2->,XeOF4+XeO2F2+XeO3+SiF4,It cant be controlled if XeOF4 is formed or XeO2F2 or even XeO3,Include all products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+NaF->,Na[XeF7],Happens only with Group I Flourides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
