Question,Answers,Comment,Instructions,Render as
RCN+ 1. R- -> 2. H2O,R2CNH,"Only monosub because unlike COOH, CN cant gemdiol eliminate and so more than 1 charge will have to reside on N. For orgo's purposes this isnt possible.",,
Cannizaro Majorly less steric is,Oxidized,H- transfer is the rds. This is decided more by the initial condition. Less steric aldehydes have more hydrate percentage.,,
Basicity order of Me subbed Amines in (aq),"2*, 3*, 1*",,,3
Basicity order of Et subbed Amines in (aq),"2*, 1*, 3*",,,3
RCONHR + NaOH + Br2,no rxn,Acid base (Inorganic) is always faster than other organic reactions. Bromamide doesnt proceed by carbonyl attack but acid base at amide and that needs 1* Amine. ,,
Nitrosyl test,"Yellow Oil, Clear Solution, Dark Green",,"Comma seperate observations for 2*, 3* Ali and 3* Ar",3
Hinsberg Test,"ppt dissolves in OH, ppt, no rxn dissolves in H",,"Comma seperate observations for 2*, 3* Ali and 3* Ar",3
"Poly EAS: Mild Activated + HNO3, Mild Activated + Br2/H2O, Strong Activated + HNO3, Strong Activated + Br2/H2O","3,1,3,3",,No. of subs,3
Carbocation Rearrangements:,"4,3,5,2",,"Arrange descending order of: 3* product, 2* product, 5* ring relief and 4* relief using the numbers associated",3
Terminal Alkyne ppt colours with Tollen and Fehling,"White, Red",,,3
ROH is protected by using,Isobutylene,Add ROH similar to addition of H2O,,
HI-lysis of ether both halves are subbed with I if reaction mixture is,hot,,,
To oxidize aldehyde to ketone major reagants are,"DMSO, PCC",,,2
E2 for 1* only if,Steric Base,,,
SN1 for 2* only with,"HX, ZnCl2/HCl",,,2
SN2 for 3* only with,"PX3, PX5, SOCl2/py",,,2
,,,,
,Coordination Compounds,,,
,,,,
d orbitals in dsp2 (Asc),"dyz=dzx,dxy,dz^2","Eventhough z^2 expected to be least, the shape has the cloud in xy plane & the cloud is of homogenous sign and so square planar actually repels this more than xy","Comma seperate, use Equal sign for degenerate, don't use ""_"" for subscripting",3
"Splitting: [NiF6]--, [CoF6]---, [Fe(NH3)6]++, [Fe(NH3)6]+++, [Cr(OH)4]-","Strong, Weak, Weak, Strong, Weak","Ni(IV) is always strong, Co(III) always strong except F-, NH3 is strong for 3+ and weak for 2+, Cr(II) and Cu(II) are actually weak splits but make inner orbital due to distortion of dz^2",strong/weak,3
,,,,
,Physical Chemistry & Physics,,,
,,,,
Coefficient in Emperical formula for nucleic radius,1.2,,"2sf, in fermimeter",3
1 esu,3.33e-10,"in kq^2/r^2 in cgs-esu units, k=1","Scientific notation using e, Represent 3 sf",3
1 Ci,3.7e+10,,"Scientific notation using e, Represent 2 sf",3
G*=,k/G,,In terms of k and G,3
µ0,4pie-7,,"Scientific notation using e, Use pi for pi",3
k(electric prop. constant),9e+9,,,
STP Temperature and Pressure,273 100000,,"Space seperate, Enter as Integers",1
R∞,1.097e+7,,"Scientific notation using e, Represent 4 sf",3
R (in Latm/Kmol),0.0821,,,3
R (in cal/K),2,, ,3
Coefficient of ln term in nernst equation,-0.059,negative sign signifies that Ecell decreases as reaction progresses,,3
G,6.67e-11,,"Scientific notation using e, Represent 3 sf",3
Bohr Radius,52.9,,Express in picometres upto 3 sf,3
1 Gauss,1e-4,,Scientific notation using e,3
σ ,5.67e-8,,Scientific notation using e upto 3sf,3
Bohr energy is proportional to (in terms of Z and n),Z^2/n^2,,An Expression,
Spin multiplicity (s=total spin),2s+1,,,
1 Debye,1e-10,,Scientific notation using e,3
First 5 Emission Series,"Lyman, Balmer, Paschen, Bracket, Pfund",,Comma Seperate,3
Light Bands in increasing order of Energy,"Radio,TV,Micro,IR,Visible,UV,X,y,Cosmic",,"Use y instead of gamma, X instead of X rays. Comma seperate.",3
Boyle,PV,,Expression for the invariant,
Charles,V/T,,Expression for the invariant,
Gay Lussac,P/T,,Expression for the invariant,
Avagadro Law,V/n,,Expression for the invariant,
"Coefficients within Sqrt for Vmost prob, Vmean, Vrms","2,8/pi,3",,Assume Monoatomic. Comma Seperate,3
Boyle Temperature,a/Rb,Just dimensional analyse,,
Vapour Density (in chemistry),M/2,Sadists dont wanna go with m/V but wanna go with (m)/(m)of Hydrogen in same conditions, ,
Vcritical,3nb,, ,3
Pcritical,a/(27b^2),"an^2/V^2; V=3nb, but then it should have a 27. So a/27b^2", ,
Zcritical,3/8,, ,3
"Purity, Strength, molality, Volume Strength, %Oleum, Hardness of Water","m/m, m/V, n/M, V/V, m/m, m/m",Volume Strength = Vol of O2/Vol of H2O2; %Oleum = mass after H2O/mass before; Hardness = mass of CaCO3 that would precipitate if both Mg and Ca were Ca/mass of water (same as volume because density = 1) in ppm,"V-Volume of Solution or Solute, m-Mass of solution or solute or whatever mass appears, M-Mass of solvent, n-mols of solute or solution",3
Magnetic nature of the product of pyrolysis of Boron:,Paramagnetic,MOT has pi below for smaller atoms. Crossing happens at no of e > 14,,
G definition (Equation),G=H-TS,dG = dH - SdT - TdS not only TdS,,
Most Ionic Equi formulas are quickly derivable except for Hydrolysis of salt of weak Acid and weak Base. \n pH = ,(Pkw+Pka-Pkb)/2,,Type without spaces in between. ,3
Sound Equation,Px=rhoytt=Byxx,,"Type without Spaces. Use ""rho"" for density, Subscript notation for partial derivatives but dont notate ""_""",
Height of HCP Lattice,4sqrt(2)a/sqrt(3),Twice the height of base tetrahedron. 2r=sqrt(2)a and h = 2(2a/sqrt(3)),,
___mm of Hg = 1 atm,760,,,3
Ideal Gas behavious,"High T, Low P",High V essentially except Molar Volume becomes a dependent variable in most contexts. (P+an^2/V^2) NOT V^2/n^2,,3
Work is ,Frame Dependent,,,
Cells in Parallel,e=sum(e/r)/sum(1/r),,,
1 Poise,0.1,,In SI units,
SI Unit of Magnetic Flux,Weber(Wb),,,
Reflection from Denser to Rarer,No flip,,,
