Question,Answers,Comment,Instructions,Mode
Hypophosphoric acid,H4P2O6,"Hypo shouldve been 2 ox states lesser than phosphoric acid, but chemists do not like homogenous naming smh. This doesn't have an anhydride link as seen by symmetry.",,
AgNO3+H3PO2+H2O->,Ag+H3PO4+HNO3,"Can be seen like Tollen test for phosphonyl, but the reaction is driven stronger by H3PO2's reducing nature than Ag",,
S2Cl2+H2O->,SO2+S8(ppt)+HCl,S2Cl2 readily disproportionates into SCl4 and S. The reaction is really hydrolysis of SCl4 not hydrolysis of S2Cl2,,
P4O6+HCl->,2H3PO3+2PCl3,HCl wont allow identical treatment of all P. 2PCl3+2H3PO3 is formed. (PCl3+3P(OH)2Cl is not that great),,
Na2SO3+▲->,Na2S+Na2SO4,"Not at ortho form and thus disproportionates. In salt form, it doesnt escape as S8.",,
HCl+O2+CuCl2->,Cl2+H2O,"This is the Deacan process. CuCl2 is just a catalyst here, it has no HSAB possibility nor redox possibility to proceed. H2[CuCl4]+O2 is easier for O2 to take H2",,
Acidic oxides of 3d-series,CrO3 Mn2O7(dark green),,,1
KI(excess)+O3+H2O->,KI3(brown)+O2+KOH,"Excess is to say that it isnt oxidized to IO3-, it is oxidized to I2 which is readily captured by KI. note that it is not wrong to write **I2 + O2 + KOH**",,
S2 (Magnetic nature),Paramagnetic,Analogous to O2,,
Preparation of SulfurylChloride,SO2+Cl2+C->SO2Cl2,C will attempt reducing Cl2 by making a Carbene.,Include catalyst as if it was a reagant,
Contact Process,FeS+O2->SO2+O2+V2O5->SO3+H2SO4->H2S2O7+H2O->H2SO4,FeS is obtained in ore form (not Fe2S3 owing to S's reducing nature),Ignore byproducts. Add reagants in consecutive steps right away. Add catalyst like its a reagant,
Least stable haloxides are made by,Br,,,
Aqua Regia - Formation,HCl+HNO3->NOCl+Cl2+H2O,High H from HCl is forcing NO2 to break into H2O+nitrosyl,Drop (conc) because the need to be concentrated obviously,1
Aqua Regia + Pt->,NOCl+Cl2+HCl+Pt->H2[PtCl6]+NO,NOCl+Pt->NO+PCl4; Cl2+Pt->PtCl4; and some HCl unreacted originally. Pt4+ prefers 6 coordination unlike Pt2+ in cisplatin,Ignore colours,
Interhalogen Compounds with I-centre,ICl IBr ICl3 IF3 IF5 IF7,"Except that IF is unstable, Uniform pattern of 2F exclusive high ones, one F-Cl, one F-Br... and uniform increase with change in centre.",,1
Oxyacids of I and Br,HOX HXO3 HXO4,HMO2 doesnt exist,use X for the halogen,1
Oxyacids of F,HOF,F can make only 1 bond,,1
KClO3+MnO2+▲->,KCl+O2,"Pyrolysis is driven by gas-ing. KCl is more stable than K2O. Pyrolusite is a catalyst here. Without MnO2 it will have to go to KClO4 first, and then decompose more and that takes much more energy and time",,
Zn(ClO3)2+▲->,ZnO+Cl2+O2,Exceptional because ZnO precipitates and supports pyrolysis,,
Side Reaction in Chloralkali,NaOH+Cl2->NaOCl+NaCl+H2O,This is why Diaphragm and Amalgam methods were designed,,
Amalgamated Castner Kellner Process,NaCl(conc)->Na(Hg)+Cl2,Dilute NaCl will not cause overpotential and O2 will be produced,,
"NaOH(cold,dil)+Cl2",NaOCl+H2O+NaCl,Side reaction in Chloralkali and Chlorate processes,,
"NaOH(hot,conc)+Cl2",NaClO3+H2O+NaCl,"This react + Chloralkali is combined as electrolysis of NaCl(hot,conc) and is known as Chlorate process. ClO3 is stable at high T.",,
Preparation of NaClO4,NaClO3+H2O->NaClO4+H2,"Electrolysis, O2 at anode is recieved by ClO3",,
HOCl+▲->,HCl+HClO4,Acids will disproportionate to extremes. It sometimes result in HClO3 and it depends on concentration,,
HClO3+▲->,HClO4+ClO2+H2O,this reaction is more similar to HNO2->HNO3+NO+H2O and is driven by ClO2 release than disproportionation.,,
KClO3->,KClO4+KCl,"Extremes are more stable, except in salt form ClO4 is the clear winner",,
NaClO4+H2SO4(conc)->,no rxn,ClO4- anions are not like CO3 or SO2 to release ClO2. Its too weak a base to become HClO4 with acid and then decompose because of high concentration of HClO4->ClO2+HCl+H2O,,
HClO2(conc)->,ClO2+HCl+H2O,"Concentrated oxoacids of Halogens readily decompose,Cl2+O2 if not ClO2",,
Li2CO3+▲->,Li2O+CO2,Group 2 Carbonates are thermally unstable unlike Group I,,
AgCl+HCN(excess)->,H[Ag(CN)2]+HCl,"Just like S2O3, NH3, SCN... AgCl dissolves here by complexation",,
Group II ppts that dissolve in Yellow Ammonium Sulphide,SnS(brown) SnS2(yellow),All the amphoteric ones basically,"Include Tin precipitates, Tin isnt there in qualitative an. syllabus but is studied in block chemistry",1
PbCl2+H3PO4,HCl+Pb3(PO4)2(ppt),"Pb follows colours same as Ag's compounds except PO4, Chromate and Oxide",,
PbSO4+CH3COONH4->,(NH4)2[Pb(CH3COO)4]+(NH4)2SO4,Displacement followed by complexation,,
AgNO3+▲->,AgNO2+O2,Surprisingly AgNO2 is stable even upto 400*C,,
CuSO4+NH4OH-> (Colour),Deep Blue,"Due to complexation of Cu. Zn, Cu and Ag readily complex with NH3 and give colourless, deep blue and colourless-soluble complexes",,
Group II Sulphides insoluble in conc.HCl,CuS(black) HgS(black),Less reactive than H and not displaced (HSAB),"In case of two colours, seperate by commas and add the most common colour first",1
Group II Sulphides insoluble in conc.HNO3,HgS(black),"HgSO4.HgO - yellow ppt (HgO has a dominating yellow colour), PbSO4 is a ppt too, but Pb can displace H and so Pb(NO3)2 formed. Similarly for other sulphate ppts (and only for sulphates that ppt, otherwise SO4 is formed) too, S8 precipitates","In case of two colours, seperate by commas and add the most common colour first",1
Cu(II) Confirmatory,"Cu+K4[Fe(CN)6]->Cu2[Fe(CN)6](ppt,chocolate brown)",Ferrocyanide is used generally,Use Cu instead of Cu++. Ignore Byproducts,
FeCl3+K3[Fe(CN)6]->,KCl+Fe[Fe(CN)6](brown),This is NOT prussian blue/turnbull blue. Both the Fe are at +3 here and for prussian and turnbull they need to be either,,
CuSO4+KSCN,K2[Cu(SCN)4](black)+K2SO4,"Complexation, Fe(SCN)3 was a complexation too except one of the 3 SCN was inside coordination sphere (similar to brown ring). Cu seems to prefer coord. no. of 4 unlike iron",,
FeCl3+K4[Fe(CN)6](excess)->,KFe[Fe(CN)4](soluble prussian blue)+KCl,True structure of Prussian Blue was Fe[FeFe(CN)6]3 and soluble prussian blue is when theres so much prusside ions that Fe doesnt have to enter coordination sphere.,,
Main reagant in Lake Test,Litmus,Litmus is adsorbed on Al(OH)3 by surface complexation giving the precipitate colour,,
CuS+H2SO4(conc)->,no rxn,"SO4 cant oxidize S, they are extremum of the same element. CuS is already a ppt too, so kinetics wont support reaction either",,
CuS+CuSO4,Cu+SO2,"Although SO4 and S-- are extremum of same element, Self Reductions are driven by E(S to SO2) and E(M(II) to M) given a source of oxygen. So here it first goes to Cu+SO2+SO3. Unlike acid and salt state where extremum are more stable, from experience we know that SO2 is more stable in gaseous state for whatever reason. Hence CuS+SO3-> SO2+CuO",,
Cu2O+FeS (in Air),FeO+Cu2S,"Self reduction can totally happen here, but it needs heading for activation energy. But owing to presence of the reducing S-- around, FeO is formed",,
ZnCl2+K4[Fe(CN)6]->,"KCl+Zn2[Fe(CN)6](ppt,bluish white)",,,
Mn(OH)2+Air->,H2MnO3(brown),,,
(CH3COO)2Ca+K2CrO4->,no rxn,"By HSAB, Calcium Chromate ppt is not formed. This is why CH3COOH is poured before doing test for Barium. (CH3COOH is already at acid and not oxidized). BaCrO4 is Yellow",,
Ca(COO)2+CH3COOH->,no rxn,"Ca(COO)2 is stays a ppt while Ba(COO)2 is soluble (Ca causes Scum and Ba is of similar Ksp as Ca). Now CH3COOH is weaker than Oxalic acid as Oxalic has I-. so it wont displace (COO)2 readily. But this reaction is feasible in Ba(COO)2 because Ba(COO)2 is one of those that are just sparingly insoluble and adding acid will shift equilibrium (Like PbX2, Mg(OH)2, Al(OH)3...). Essentially 3 ways of dissolving back are 1. Complexation 2. Acid-Base 3. (ONLY for sparingly soluble ppts) Equilibrium Shift",,
Aqua Regia + Au,NOCl+Cl2+HCl+Au->H[AuCl4]+NO,Au3+ prefers 4 coordination unlike Au+ which prefered 2 coordination in Na[Au(CN)2],,
P4+SO2Cl2-> (Only Major Products),PCl5+SO2,PCl3 can also be formed but PCl5 major,,
A cation is confirmed using formation of an organic Dye,"Fe(II),Blue",Methylene Blue is a Redox indicator," Answer: Cation(Ox. State), Colour observed in test",2
SO2 + H2S->,S8(ppt)+H2O,SNacyl,,
PbSO4+KNO3->,no rxn,"1. Hardness of Anions follow Electrochemical series (F - SO4 - NO3 - X - OH) and 2. Generally, Double displacement dissolving are disfavoured by equi and only complexation or acid-base will dissolve",,
Potassium Flame Colour,Purple,"Potassium Purple, Frequency keeps decreasing until Na from Cl, here band switches and from K to Cs decreases again",,
NaN3+NaNO2->,N2+N2O+Na2O,"N3 being an insane nucleophile attacks NaNO2 to become (NaO)2N2-N2. N2 being great leaving goes, this also gemdiol elimination to get N2O",,
NaNO2+Sulphamic Acid->,NH2SO3Na+H2SO4+N2,Diazotization with SO3H as strong acid and S-NH2 as amine moiety. Sulphamic acid is NH2-SO3H,,
"[Ni(DMG)] - Colour, Ox State of Ni","Red, 2",,Comma Seperate,2
H2O2+FeCl3 [OH]->,HCl+O2+FeCl2,H2O2 is a weirdo. and becoming O2 potential is really close to potential for mild (>weak) oxidizers (like I2 and FeCl3). Thus Solution is in equilibrium and [OH] will support Oxidation of H2O2. But this can further react with another H2O2 to get readily oxidized and thus this reaction is only an incomplete picture of it.,,
Dithionic Acid,H2S2O6,Another name for hyposulphuric acid,,
"Fe/FeO+K2O+Al2O3, V2O5, Pt+Rh, CuCl2","Haber, Contact,Ostwald, Deacan",,Catalysts and Processes,
S8+KOH->,2K2S2O3+4K2S+6H2O,"Mechanism is convoluted, but this can be thought of like P4->PH3+H3PO2. H2S+H2S2O2 but its bad and reduces OH to become thiosulphate",,
"Carbon Suboxide, Tetrathionate, Tribromooctaoxide","O=C=C=C=O, SO3-S-S-SO3, BrO3-BrO2-BrO3",,Structures and Names. Drop charges,3
Preparation of Na2S2O3,Na2S+Na2SO3+I2->Na2S2O3+2NaI,Na2SO3 + S8 would technically work if there was a solvent in which S8 wouldnt ppt,Dont notate heating,
Ca(HCO3)2+▲->,CaCO3(ppt)+CO2+H2O,"Eventhough II carbonates aren't stable, for mild heating, CaCO3 will just escape as a ppt instead of decomposing. This reaction is used in removing Temporary Hardness",,
2-EthylAnthraquinol+Air->,H2O2(pale blue)+2-ethylanthraquinone,One big aromatic ring goes to 2 smaller aromatic rings which is more stabilizing. Pure H2O2 is pale blue. It freezes lower than water like how it evaporates higher than water. ,,
PCl3+H3PO3->,H2P2O5+HCl,"Here, O- of phosphonic acid wont directly attack pcl3 because of the surprising P—- character and attack a different phosphonic instead. PCl3 is generally a bit dehydrating by hydrolysis too",,
Prep of BeCl2,BeO+C+Cl2->CO+BeCl2,High T CO,,
MgCl2(NH3) + ▲(mild) ->,[Mg(NH3)6]Cl2,"Unlike Alkali metals, Alkali Earth metals do not lose their primary sphere of coordination on dehydration",,
"Sodalime, Quick Lime, Slaked Lime","NaOH+CaO, CaO, Ca(OH)2",,,5
Al+HNO3(conc)->,no rxn,Yeah Al2O3 is formed. Turns out strong thermite lattice cant be broken by an acid as weak as HNO3 to dissolve it by acid base. Only H2SO4 will both oxidize and dissolve,,
AlCl3+H2O->,"Al(OH)3(ppt, gelatinous)+HCl",Prominent Covalent character of Al salts with anions less harder than Oxyanions will make the bond the most susceptible kind - Covalent Polar,,
Graphite+Electrical Arc,C60(buckministerfullerene),,Include formula and Common name in brackets,
PbI2+HI+I2->,no rxn,"Unlike PbCl4, PbI4 doesn't exist. H2[PbI6] can't be formed",,
"No. of Hexane, Pentanes in Buckminister","20, 12", ,,
"Pd, Ag, Pt, Au, Hg","4d10 5s0, 4d10 5s1, 5d9 6s1, 5d10 6s1, 5d10 6s2","Pt is weird, It can be seen like Pt shows square planar mostly because of d9 just like Cu or Cr (Assymetric d9 distortion)","Electronic Configuration and Transition metals \n Format: 4d57 5s78, Ag, 4d31 5s85...",5
Metals used in Steel other than Fe:,"Cr, Mo, Mn, W, V",,,2
"Magnetic Nature: KMnO4, K2Cr2O7, K2MnO4","T-dependent paramagnetic, diamagnetic, paramagnetic",,Paramagnetic/Diamagnetic/T-dependent Paramagnetic,3
Cl Oxides:,"Cl2O, ClO2, Cl2O6, Cl2O7","Cl2O7 is the most stable, Cl2O6 less because of the peroxylink. ClO2 is very good at high temperature. Cl2O is the least stable, itll go BOOM",Include anhydrides,2
PbS+YAS,no rxn,Pb complexes only with hard-ish (more like away from Group 14) ligands,,
Al2O3+Cu+C (High T)->,CO+Al,C->CO manages to cross Al at high T,,
Al2O3+C+N2 (High T)->,AlN+CO,N2 is obviously easier to reduce than Al,,
NaF+AlF3->,Na3AlF6,"Cryolite is formed. Flourine shrinks d orbitals enough so that sp3d2 is pretty good now, Similar to how [NiF6] exists unlike expected using Nickel's usual coordination numbers",,
MgO+Si (high T)->,Mg+SiO2,"Si = C, SiO2=CO. Reaction is kinda driven by acid base with another MgO, but in net only redox",,
,,,,
,Surface Chemistry,,,
,,,,
Pthalic Anhydride + Resourcinol + AgCl,Green ppt,Adsorptive indication. AgCl adsorbs the formed dye from Pthalic Anhydride test for Phenols. The reaction looks holy damn cool in slowmotion btw.,Type Observation,
Which adsorption is endothermic out of physisorption and chemisorption,Neither,Both are exothermic except exception weird cases where there's some adsorbate's bond breaken,,
"Solid Sol, Liquid Aerosol, Solid Aerosol, Emulsion","Solid-Solid, Liquid-Gas, Solid-Gas,Liquid-Liquid","Solid Sol*id*, Sprays, New Emulsion Paints",Format: Dispersed Phase-Dispersion Medium,5
"Gel, Sol, Foam","Liquid-Solid, Solid-Liquid, Gas-Liquid","Unlike popular belief, Gel isnt solid dissolved in liquid but Liquid suspended in solid mass, hair gels isnt really a gel, better example of gel is gelatin, Old dissolved paints that flake off with time, whipped cream",Format: Dispersed Phase-Dispersion Medium,5
"S8, Pt, AgI/KI, Solution-sized Dirt, Water-Oil Emulsion","Chemical, Bredig's Arc, Peptization, Micelle, Emulsification ","Chemically Colloidal S8 is made, Bredig's Arc is the shattering of a metal electrode with high current, Peptization is breaking of large solids into smaller aggregates, Micelle formation is stepping is smaller ones using surfactants like Sodium Stereate. Essentially anything that achieves colloidal size work for Sol formation (10^-6 to 10^-9). Emulsification is binding two liquids together to avoid density-seperation using things like Soap, Protiens, Fatty Acids, etc.",Common Sols and Method of preparation,3
Wavelength Range for Tyndall Effect with Colloids,>10^-9,"1. Colloidal Size. Tyndall Scattering needs wavelength larger than particle size to scatter. \n 2. Its just anologous to Rayleigh Scatter, demands that refractive index of particle and medium are greatly different (In victinity of particle, permittivity is obviously different since if not, then there wont be any electric field effects and so sqrt(eµ) is also different.) \n 3. Just like Rayleigh scattering, Smaller lambda are more affected by µ and hence more scattered. This also determines colour of colloid, lowest possible wavelength scattered = Colour when scattered ones are viewed, opposite when transmitted are viewed.",Format: <comparison operator>10^-x (without spaces in between),1
AgI/I-,"-ve,I-,K+","Charge of Colloid is decided by Stationary phase. In Electrophoresis, only Stationary phase sticks with colloid particles, mobile phase is dynamic \n At small concentrations: Formation of Electric Double Layer will stabilize Lyophobic Colloid (Lyophilic does not require this stabilization) by preventing aggregation by putting a Electrostatic potential barrier between the Vanderwaals minima and outside. \n Excess of Electrolyte: will cause opposite charged mobile phase for both Lyophilic and Lyophobic so dominating that just after the Electrostatic Potential barrier(Maxima) another Electrostatic Minima will occur and cause Aggregation.","Format: Charge(+ve/-ve), Stationary Layer, Mobile Layer. (Assume I- is from KI)",3
"Fe(OH)3/Hot Water, Fe(OH)3/NaOH, Metal Sol, Sulphide Sol, Oxide Sol, Organic Sol, Blood","+ve,-ve,-ve,-ve,+ve,-ve,+ve","Ionic- In metal bases onces, Metal is always easier to get adsorbed by complexation giving a net +ve, given A/B medium the other get's adsorbed giving net charge, Metal sols are almost like complexes of OH- getting a net negative, Sulphides sols have S-- adsorbed. \n Covalent - Oxides are hygroscopic, when water complexes, outer end becomes +ve, Organic molecules are electron donors, when something else complexes outer becomes negative, Blood is an exception, biological systems are op and blood will clot by +ve -ve cancelling",Common Sols and their Charge (+ve/-ve),3
"Fe(OH)3/Hot Water, Fe(OH)3/NaOH, Metal Sol, Sulphide Sol, Oxide Sol, Organic Sol, RBC, Milk","No,No,No,No,No,Yes,Yes,Yes",Only Organic ones are Lyophilic,Common Sols and Lyophilicity (Yes/No),3
"Azo Dyes, Pthalein Dyes","+ve, -ve","Organic Acid Bases are counted under ionic. Just like Fe(OH)3, NH3 easily gets net positive by donating to another cation, and acidic H easily becomes net negative but giving away H",Common Sols and their Charge (+ve/-ve),3
"Give expression for Floccuation Value using C:Concentration of Electrolyte, T: Time it takes to Flocculate M:Concentration of Sol required (Both Lyophilic and Phobic)",(1000CT)/(7200),Concentration of Electrolyte needed in millimoles per litre to flocculate in 2 hours. Follows very weird kinetics but roughly \n d(fraction of sol left)/dt = kC. \n f = (1000)/(7200k) and kCT=1 \n f = (1000CT)/(7200),Format: (numerator)/(denominator); Do not cancel out factors in numerator and denominator,
"Blood, Milk, Mist, Soil, Milk of Magnesia, Latex, (Old) Paint, Fog, Cu2S(froth), Whipped Cream, Butter, Hair Gel, Gelatin","Sol, Emulsion, Aerosol, Solid sol, sol, Sol, Sol, Aerosol, foam, foam, Gel, Emulsion, Gel","Hair gel is actually an Emulsion of liquid medium and liquid stuff that keep hair rigid. Real gels are liquid suspended in solid. Hair is NOT a sol, its not solid stuff that is suspended in it.",Types of Colloid,3
Gold Number is the ________ of Sol required to prevent coag. of ____ of Standard Au(sol) by ____ of ____ NaCl,milligrams 10ml 1ml 10%,,Space seperate,1
Minimum boiling azeotrope is a mixture in which the components ________ boil at a ______ temperature,"simultaneously, lower",,,3
"Ethanol+Acetone, CS2+Acetone, CHCl3+Acetone, Aniline+Phenol, Benzene+Toluene","+ve,+ve,-ve,-ve,ideal","More pressure = positive. H-bonds was stronger than dipole-dipole, Dipole-dipole was stronger than Vanderwaals, H-bonding (because of 3-beta I-) is stronger than dipole-dipole, no. of H bonds per atom is effectively increasing, very similar molecules",Deviation: +ve/-ve/ideal,3
,,,,
,Inorganic Trends,,,
,,,,
Periods that show Ionization Potential Exceptions by Exchange Energy,2 3 4,Xenon's period shows uniform trend,List the Periods that show exchange energy exceptions in Ionization Enthalpy (Space seperated),1
Greater H2O2 dihedral angle is in,Gas,"A nice cubic lattice can be formed is dihedral = 90* and the other is whatever. The other angle is close to 109.5. In gas exact flip. This is actually different from how it normally is in Organic. In organic fibre-like lattices were nicer. This is because there, it was mostly about surface area, while here it is more about dipoles and stuff",Solid or Gas,
Thermal Stability ______ down the group except for ________ in s block,"Increases, Flourides","Flourides are an exception, Bond length so small that dr/r^2 becomes dominating",Comma Seperate,3
Ionic%=AX + BX^2,16 3.5,,Space Seperate and enter A and B,1
General Atomic mass of first 20 elements interms of Z (odd),2Z+1,, ,
General Atomic mass of first 20 elements interms of Z (even),2Z,, ,
Exceptions to General Atomic mass emperical formulas for first 20 Elements,H Be N Cl Ar,,Space Seperate,1
Atomic Mass of Be,9,, ,3
Atomic Mass of Ar,40,, ,3
Atomic Mass of Cl,35.5,, ,3
Atomic Mass of Mn,55,, ,3
Atomic Mass of Fe,56,, ,3
Atomic Mass of Cu,63.5,, ,3
Atomic Mass of Zn,65,, ,3
Atomic Mass of Br,80,, ,3
Atomic Mass of I,127,, ,3
Atomic Mass of Ba,137,, ,3
Atomic Mass of Ag,108,, ,3
,,,,
,"Ores, Solids, Metallurgy",,,
,,,,
Self reduction,CuS PbS,This is also called Bessemerization when Air is flushed into hot ore to make oxide which will then react with sulphide,Space Seperate,1
"Carnallite,Potash Alum, Mohr's Salt","KCl.MgCl2.6H2O, [K(H2O)6]2[Al(H2O)6]2(SO4)4, (NH4)2SO4.FeSO4.6H2O",,Use true forms including Hydration,5
Radius Ratios,0.155 0.225 0.414 0.732 1,Linear Triangle sp3 Octahedral/dsp2 BCC ClosedPacking,space seperated in decimal form,1
Wurtzite,ZnS hcp Tetrahedral,,Space Seperate. Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),1
Zinc Blende,ZnS fcc Tetrahedral,Ratio rule gives tetrahedral and only half of the total Tetravoids are occupied (like sp3 covalent solids),Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),1
NaCl,fcc octahedral Cl,"Just a simple linear arrangement of alternating Na and Cl (Ratio rule gives octahedral). Cl decides lattice size, Na+ is not larger than Cl like Na. Na+ is of lower shell.",Lattice Voids Atom-that-decides-lattice-size,1
CsCl,"Cs,Cl",,BodyCentre Corners. Comma Seperate,3
Flourite,AX2 fcc Tetrahedral,Tetrahedral ratio,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp).  Drop Coefficients.,1
Antiflourite,A2X fcc Tetrahedral,Cations occupy voids here,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp). Drop Coefficients.,1
Corrundum,Al2O3 hcp Octahedral,2/3 of Octahedral voids are taken by Al,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp). Drop Coefficients.,1
"Zincite, Cuprite, Pyrolusite, Magnetite, Hematite","ZnO, Cu2O, MnO2,Fe3O4, Fe2O3","Common Oxide ores. Cu(II) was stable because of hydration which isnt there in ores, so Cu(I)",,5
"Gypsum,Plaster of Paris,Epsom","CaSO4.2H2O, CaSO4.0.5H2O, MgSO4.7H2O",,Use decimal in case of fractional coefficients,5
"Cinnabar, Argentite, Galena","HgS, Ag2S, PbS",Common Sulphide ores other than Zinc based ones,,5
"Indian Saltpetre, Chile Saltpetre","KNO3, NaNO3",Nitrate ores,,5
"Calamine, Copper Pyrite, Siderite, Bauxite, Chalcocite, Pyrite","ZnCO3, CuFeS2, FeCO3, Al2O3.2H2O, Cu2S, FeS2",Non oxide ores of Iron are found in Fe(II) state. The ore was formed deep below and stability reasons for Fe(III) isnt present anymore. Some are even more weird that it looks like Fe(I) but its because of self bonding in sulphur (This isnt the case with Chalcopyrite though). Chalco- seems to refer to Cu generally,Use dot-form,5
"Fluorspar, Dolomite, Cryolite, Litharge","CaF2, CaCO3.MgCO3, Na3AlF6, PbO",,,5
"Casseterite, Blue Vitrol, Magnesia, Kernite, Flourapatite","SnO2, [Cu(H2O)4]SO4.H2O, MgO, Na2B4O7.4H2O, Ca3(PO4)2.CaF2",Cu likes 4x coordination generally. One water molecule comes between complex and SO4,Use true form for Blue Vitrol,5
"Brass, Bronze","Cu+Zn, Cu+Sn",S and Z exchange,,5
"Chromite, Sulphides, Oxides","Magnetic, Froth, Lavigation",Lavigation is using stream of water to seperate using densities. Oxide lattices are very dense,Concentration Methods (Use just the first word of the process for Typing's sake),3
"Semiconductors, Metals with Low MP, Metals with Low affinity to Oxygen","Zone, Liquation, Cupellation",Zone Refining uses that Impurities like staying dissolved but slowly melting the entire metal lengthwise. Cupellation uses atm O2 to sediment impurities as oxides. ,Refinining Methods (Use just first word),3
Green Wood + Cu2O + ▲(Heavy)->,Cu+CO+H2,"This is called Poling. CO is more stable at High T, this is almost like displacement of Cu driven by high Temperature bond breaking, except H2O+C a high Temp also goes to CO+H2",,
"Pine Oil, Sodium Xanthate, Cresol, Aniline, Fatty Acids","Collector, Collector, Stabilizer, Stabilizer, Collector","Collectors make lyophilic colloids and protect the sulphide colloids (both are -ve). Once the froth is out of the solution, stabilizers will make sure they don't go back in",Collector/Stabilizer,3
Ellingham Diagrams have delta G values for (Oxidation/Reduction),Oxidation,,,
Reaction that happens at the upper half of Blast Furnace,Fe2O3+CO->Pig Iron+CO2,"C->CO happens at bottom, this CO rises up and since T is lower now, this goes to CO2",Use Common name for Iron products,
Hall Heroults Process,Al2O3+Na3AlF6+CaF2->Al+O2,Electrolysis,,
"Azurite, Chalcanthite, Magnesite, Limonite","Cu(OH)2.CuCO3, CuSO4.5H2O, MgCO3, Fe2O3.3H2O","Azurite is malachite without water, limonite is hematite with water. Magnesite is NOT MgO but MgCO3, Chalcanthite is just blue vitrol",,5
"Cerrusite, Anglesite, Horn Silver, Kaolinite, Feldspar","PbCO3, PbSO4, AgCl, Al2O3.SiO2.H2O, K2O.Al2O3.SiO2",Kaolinite is just sand with higher Aluminium,Ignore Coefficients in Dot form of ore (they vary),5
,,,,
,Polymers & Biomolecules,,,
,,,,
"Out of the standard set of test for carbonyl, list tests that glucose will not show",DNP Schiff NaHSO3,DNP and Schiff are deactivated versions of Osazone and Oxime.,"Standard set of tests for carbonyl here are DNP, Tollen, Fehling, Benedict, Schiff, NaHSO3, Oxime. Type names seperated by spaces in same abbrievation as here",1
Smallest Aldehydic Carbohydrates,Glyceraldehyde,Smallest optically active Polyhydroxy aldehyde,Type name,
C2 epimer of glucose,Mannose,,Type without relative naming prefix (without D-),
Precursor of Glucose in Cyanohydrin step up synthesis,Arabinose,,Type without relative naming prefix (without D-),
Successors of Glyceraldehyde in Killani Fischer Step up,Erythrose Threose,,,1
"Hexose, Hexulose, Furan, Pyran","Aldehyde, Ketone, Aromatic, Diene",,"Functional Group/Chemical Description (Drop ""heteroatom ring"" everytime)",3
Reactivity Series,K Na Ca Mg Al Cr C Mn Zn Fe Sn Pb H Cu Hg Ag Au Pt,"H shows overpotential when seeded electrodes are used, in metallurgy H is placed where C is. Acid Base reactions can also be predicted with roughly",Space Seperated,
Anion Echem Series,I Br OH Cl NO3 SO4 F,"OH is exceptionally, more retained in solution than Cl only in Chloralkali-like processes because of bubble overpotential. Most negative Electrode potential -> Wants to give electrons to outer circuit more -> easily Auxidized","Ascending order of electrode potential, Space seperated, type without any charges",
Glucose+Br2/H2O,Gluconic Acid,"Br2/H2O just like at C-C pi bonds, can react with C=O to selectively oxidize it. (Addition of Bromohydrin, elimination of HBr). Glucanoic Acid -> Gluconic Acid",Just type common name,
Glucose+HNO3,"Glucaric Acid,Saccharic acid",Terminal groups oxidized,Comma Seperate Common names,2
Fructose+Br2/H2O,no rxn,Ketone cant be further reduced to acid,Just type common name,
5 Homologues of Oxalic Acid,"Oxalic, Malonic, Succinic, Glutaric, Adipic",,"Including Oxalic acid, Comma seperate",3
Glucose+RaNiH2,Sorbitol,Temp and P omitted here generally,Common name,
Glucose+ROH+[H+],Alkyl Glucopyranoside,SN similar to Ether formation happens but only at carbonyl carbon since that is the most acidic H,"Use Alkyl for R, Common Name",
Glucose+phNH2NH2,"Yellow Precipitate, Osazone, 3","After one =N addition, Another N-N acts like inorganic hydrazine and redoxes. Now another =N happens. Reaction stops here because of H bonded cycle.","Observation and Common Name of product, No. of moles of phNHNH2 used",2
"Purine rings out of A=T, C=G",A G,AuGmented size. And also AT^2 - A and T are 2 H bond pairs. UT - Uracil is primitive Thyamine,Space seperate first letters alone,1
"H-, CH3-, Isopropyl-, Isobutyl-, Secbutyl-","Glycine, Alanine, Valine, Leucine, Isoleucine",,"Match R- against protien name. Use common name for isoalkyl groups, Structural formula in expanded form for others.",5
"phCH2-, COOHCH2-, COOHCH2CH2-, NH2CH2CH2CH2CH2-","Phenylalanine, Aspartic Acid, Glutamic Acid, Lysine",,"Match R- against protien name. Use common name for isoalkyl groups, Structural formula in expanded form for others. Use ph for C6H5",5
"NH2COCH2CH2-,NH2COCH2-, OHCH2-, SHCH2-","Glutamine, Asparagine, Serine, Cysteine",,"Match R- against protien name. Use common name for isoalkyl groups, Structural formula in expanded form for others. Use ph for C6H5",5
"OHphCH2-, CH2CH2CH2-","Tyrosine, Proline",Proline has a ring,"Enter only the R- even if its chelating, remove the final H to show that it is chelating",5
Non-Essential AminoAcids,"Glycine, Alanine, Glutamic Acid, Aspartic Acid, Glutamine, Asparagine, Serine, Cysteine, Tyrosine, Proline",Any abomination structure like tert-butyl or cyclopropyl would be artificial,Comma Seperate common names,2
